Country,Survey Year,DHS Phase,Women's Marital Status,Women's Age Range,Men's Marital Status,Men's Age Range
Afghanistan,2015,7,Ever Married,15 to 49,Ever Married,15 to 49
Albania,2008-09,5,All,15 to 49,All,15 to 49
Angola,2015-16,7,All,15 to 49,All,15 to 54
Armenia,2010,6,All,15 to 49,All,15 to 49
Armenia,2005,5,All,15 to 49,All,15 to 49
Armenia,2000,4,All,15 to 49,All,15 to 54
Azerbaijan,2006,5,All,15 to 49,All,15 to 59
Bangladesh,2014,7,Ever Married,15 to 49,NA,NA
Bangladesh,2011,6,Ever Married,12 to 49,Ever Married,15 to 54
Bangladesh,2007,5,Ever Married,15 to 49,Ever Married,15 to 54
Bangladesh,2004,4,Ever Married,10 to 49,Ever Married,15 to 54
Bangladesh,1999-2000,4,Ever Married,10 to 49,Currently Married,15 to 59
Bangladesh,1996-97,3,Ever Married,10 to 49,Currently Married,15 to 59
Bangladesh,1993-94,3,Ever Married,10 to 49,Married to Female Resp.,All
Benin,2011-12,6,All,15 to 49,All,15 to 64
Benin,2006,5,All,15 to 49,All,15 to 64
Benin,2001,4,All,15 to 49,All,15 to 64
Benin,1996,3,All,15 to 49,All,20 to 64
Bolivia,2008,5,All,15 to 49,All,15 to 64
Bolivia,2003,4,All,15 to 49,All,15 to 64
Bolivia,1998,3,All,15 to 49,All,15 to 64
Bolivia,1994,3,All,15 to 49,NA,NA
Bolivia,1989,1,All,15 to 49,NA,NA
Botswana,1988,1,All,15 to 49,NA,NA
Brazil,1996,3,All,15 to 49,All,15 to 59
Brazil,1991,2,All,15 to 49,Married to Female Resp.,All
Brazil,1986,1,All,15 to 44,NA,NA
Burkina Faso,2010,6,All,15 to 49,All,15 to 59
Burkina Faso,2003,4,All,15 to 49,All,15 to 59
Burkina Faso,1998-99,3,All,15 to 49,All,15 to 59
Burkina Faso,1993,2,All,15 to 49,All,18+
Burundi,2010,6,All,15 to 49,All,15 to 59
Burundi,1987,1,All,15 to 49,Married to Female Resp.,All
Cambodia,2014,7,All,15 to 49,All,15 to 49
Cambodia,2010,6,All,15 to 49,All,15 to 49
Cambodia,2005,5,All,15 to 49,All,15 to 49
Cambodia,2000,4,All,15 to 49,NA,NA
Cameroon,2011,6,All,15 to 49,All,15 to 59
Cameroon,2004,4,All,15 to 49,All,15 to 59
Cameroon,1998,3,All,15 to 49,All,15 to 59
Cameroon,1991,2,All,15 to 49,NA,NA
Cape Verde,2005,4,All,15 to 49,All,15 to 59
Central African Republic,1994-95,3,All,15 to 49,All,15 to 59
Chad,2014-15,7,All,15 to 49,All,15 to 59
Chad,2004,4,All,15 to 49,All,15 to 59
Chad,1996-97,3,All,15 to 49,All,15 to 59
Colombia,2015,7,All,13 to 49,All,13 to 59
Colombia,2010,6,All,13 to 49,NA,NA
Colombia,2005,5,All,13 to 49,NA,NA
Colombia,2000,4,All,15 to 49,NA,NA
Colombia,1995,3,All,15 to 49,NA,NA
Colombia,1990,2,All,15 to 49,NA,NA
Colombia,1986,1,All,15 to 49,NA,NA
Comoros,2012,6,All,15 to 49,All,15 to 59
Comoros,1996,3,All,15 to 49,All,15 to 64
Congo,2011-12,6,All,15 to 49,All,15 to 59
Congo,2005,5,All,15 to 49,All,15 to 59
Congo Dem. Republic,2013-14,6,All,15 to 49,All,15 to 59
Congo Dem. Republic,2007,5,All,15 to 49,All,15 to 59
Cote d'Ivoire,2011-12,6,All,15 to 49,All,15 to 59
Cote d'Ivoire,1998-99,3,All,15 to 49,All,15 to 59
Cote d'Ivoire,1994,3,All,15 to 49,All,15 to 59
Dominican Republic,2013,6,All,15 to 49,All,15 to 59
Dominican Republic,2007,5,All,15 to 49,All,15 to 59
Dominican Republic,2002,4,All,15 to 49,All,15 to 59
Dominican Republic,1999,4,All,15 to 49,All,15 to 64
Dominican Republic,1996,3,All,15 to 49,All,15 to 64
Dominican Republic,1991,2,All,15 to 49,NA,NA
Dominican Republic,1986,1,All,15 to 49,NA,NA
Ecuador,1987,1,All,15 to 49,NA,NA
Egypt,2014,6,Ever Married,15 to 49,NA,NA
Egypt,2008,5,Ever Married,15 to 49,NA,NA
Egypt,2005,5,Ever Married,15 to 49,NA,NA
Egypt,2000,4,Ever Married,15 to 49,NA,NA
Egypt,1995,3,Ever Married,15 to 49,NA,NA
Egypt,1992,2,Ever Married,15 to 49,Married to Female Resp.,All
Egypt,1988,1,Ever Married,15 to 49,NA,NA
El Salvador,1985,1,All,15 to 49,NA,NA
Equatorial Guinea,2011,6,All,15 to 49,All,15 to 59
Eritrea,2002,4,All,15 to 49,NA,NA
Eritrea,1995,3,All,15 to 49,All,15 to 59
Ethiopia,2011,6,All,15 to 49,All,15 to 59
Ethiopia,2005,5,All,15 to 49,All,15 to 59
Ethiopia,2000,4,All,15 to 49,All,15 to 59
Gabon,2012,6,All,15 to 49,All,15 to 59
Gabon,2000,4,All,15 to 49,All,15 to 59
Gambia,2013,6,All,15 to 49,All,15 to 59
Ghana,2014,7,All,15 to 49,All,15 to 59
Ghana,2008,5,All,15 to 49,All,15 to 59
Ghana,2003,4,All,15 to 49,All,15 to 59
Ghana,1998,4,All,15 to 49,All,15 to 59
Ghana,1993,3,All,15 to 49,All,15 to 59
Ghana,1988,1,All,15 to 49,Married to Female Resp.,All
Guatemala,2014-15,7,All,15 to 49,All,15 to 59
Guatemala,1995,3,All,15 to 49,NA,NA
Guatemala,1987,1,All,15 to 44,NA,NA
Guinea,2012,6,All,15 to 49,All,15 to 59
Guinea,2005,5,All,15 to 49,All,15 to 59
Guinea,1999,4,All,15 to 49,All,15 to 59
Guyana,2009,5,All,15 to 49,All,15 to 49
Haiti,2012,6,All,15 to 49,All,15 to 59
Haiti,2005-06,5,All,15 to 49,All,15 to 59
Haiti,2000,4,All,15 to 49,All,15 to 59
Haiti,1994-95,3,All,15 to 49,All,15 to 59
Honduras,2011-12,6,All,15 to 49,All,15 to 59
Honduras,2005-06,5,All,15 to 49,NA,NA
India,2005-06,5,All,15 to 49,All,15 to 54
India,1998-99,4,Ever Married,15 to 49,NA,NA
India,1992-93,2,Ever Married,13 to 49,NA,NA
Indonesia,2012,6,All,15 to 49,Ever Married,15 to 54
Indonesia,2007,5,Ever Married,15 to 49,Currently Married,15 to 54
Indonesia,2002-03,4,Ever Married,15 to 49,Currently Married,15 to 54
Indonesia,1997,3,Ever Married,15 to 49,NA,NA
Indonesia,1994,3,Ever Married,15 to 49,NA,NA
Indonesia,1991,2,Ever Married,15 to 49,NA,NA
Indonesia,1987,1,Ever Married,15 to 49,NA,NA
Jordan,2012,6,Ever Married,15 to 49,NA,NA
Jordan,2007,5,Ever Married,15 to 49,NA,NA
Jordan,2002,4,Ever Married,15 to 49,NA,NA
Jordan,1997,3,Ever Married,15 to 49,NA,NA
Jordan,1990,2,Ever Married,15 to 49,NA,NA
Kazakhstan,1999,4,All,15 to 49,All,15 to 59
Kazakhstan,1995,3,All,15 to 49,NA,NA
Kenya,2014,7,All,15 to 49,All,15 to 54
Kenya,2008-09,5,All,15 to 49,All,15 to 54
Kenya,2003,4,All,15 to 49,All,15 to 54
Kenya,1998,3,All,15 to 49,All,15 to 54
Kenya,1993,3,All,15 to 49,All,20 to 54
Kenya,1989,1,All,15 to 49,Married to Female Resp.,All
Kyrgyz Republic,2012,6,All,15 to 49,All,15 to 59
Kyrgyz Republic,1997,3,All,15 to 49,NA,NA
Lesotho,2014,7,All,15 to 49,All,15 to 59
Lesotho,2009,6,All,15 to 49,All,15 to 59
Lesotho,2004,4,All,15 to 49,All,15 to 59
Liberia,2013,6,All,15 to 49,All,15 to 49
Liberia,2007,5,All,15 to 49,All,15 to 49
Liberia,1986,1,All,15 to 49,NA,NA
Madagascar,2008-09,5,All,15 to 49,All,15 to 59
Madagascar,2003-04,4,All,15 to 49,All,15 to 59
Madagascar,1997,3,All,15 to 49,NA,NA
Madagascar,1992,2,All,15 to 49,NA,NA
Malawi,2015-16,7,All,15 to 49,All,15 to 54
Malawi,2010,6,All,15 to 49,All,15 to 54
Malawi,2004,4,All,15 to 49,All,15 to 54
Malawi,2000,4,All,15 to 49,All,15 to 54
Malawi,1992,2,All,15 to 49,All,20 to 54
Maldives,2009,5,Ever Married,15 to 49,Ever Married,15 to 64
Mali,2012-13,6,All,15 to 49,All,15 to 59
Mali,2006,5,All,15 to 49,All,15 to 59
Mali,2001,4,All,15 to 49,All,15 to 59
Mali,1995-96,3,All,15 to 49,All,15 to 59
Mali,1987,1,All,15 to 49,All,20 to 55
Mexico,1987,1,All,15 to 49,NA,NA
Moldova,2005,5,All,15 to 49,All,15 to 59
Morocco,2003-04,4,All,15 to 49,NA,NA
Morocco,1992,2,All,15 to 49,All,20+
Morocco,1987,1,Ever Married,15 to 49,NA,NA
Mozambique,2011,6,All,15 to 49,All,15 to 64
Mozambique,2003,4,All,15 to 49,All,15 to 64
Mozambique,1997,3,All,15 to 49,All,15 to 64
Myanmar,2015-16,7,All,15 to 49,All,15 to 49
Namibia,2013,6,All,15 to 49,All,15 to 64
Namibia,2006-07,5,All,15 to 49,All,15 to 49
Namibia,2000,4,All,15 to 49,All,15 to 59
Namibia,1992,2,All,15 to 49,NA,NA
Nepal,2011,6,All,15 to 49,All,15 to 49
Nepal,2006,5,All,15 to 49,All,15 to 59
Nepal,2001,4,Ever Married,15 to 49,Ever Married,15 to 59
Nepal,1996,3,Ever Married,15 to 49,NA,NA
Nicaragua,2001,4,All,15 to 49,NA,NA
Nicaragua,1998,3,All,15 to 49,All,15 to 59
Niger,2012,6,All,15 to 49,All,15 to 59
Niger,2006,5,All,15 to 49,All,15 to 59
Niger,1998,3,All,15 to 49,All,15 to 59
Niger,1992,2,All,15 to 49,Married to Female Resp.,All
Nigeria,2013,6,All,15 to 49,All,15 to 49
Nigeria,2008,5,All,15 to 49,All,15 to 59
Nigeria,2003,4,All,15 to 49,All,15 to 59
Nigeria,1999,4,All,10 to 49,All,15 to 64
Nigeria,1990,2,All,15 to 49,NA,NA
Pakistan,2012-13,6,Ever Married,15 to 49,Ever Married,15 to 49
Pakistan,2006-07,5,Ever Married,15 to 49,NA,NA
Pakistan,1990-91,2,Ever Married,15 to 49,Married to Female Resp.,All
Paraguay,1990,2,All,15 to 49,NA,NA
Peru,2000,4,All,15 to 49,NA,NA
Peru,1996,3,All,15 to 49,All,15 to 59
Peru,1991-92,2,All,15 to 49,NA,NA
Peru,1986,1,All,15 to 49,NA,NA
Philippines,2013,6,All,15 to 49,NA,NA
Philippines,2008,5,All,15 to 49,NA,NA
Philippines,2003,4,All,15 to 49,All,15 to 54
Philippines,1998,3,All,15 to 49,NA,NA
Philippines,1993,3,All,15 to 49,NA,NA
Rwanda,2014-15,7,All,15 to 49,All,15 to 59
Rwanda,2010,6,All,15 to 49,All,15 to 59
Rwanda,2005,5,All,15 to 49,All,15 to 59
Rwanda,2000,4,All,15 to 49,All,15 to 59
Rwanda,1992,2,All,15 to 49,Married to Female Resp.,All
Samoa,2009,5,All,15 to 49,All,15 to 54
Sao Tome and Principe,2008-09,5,All,15 to 49,All,15 to 59
Senegal,2010-11,6,All,15 to 49,All,15 to 59
Senegal,2005,4,All,15 to 49,All,15 to 59
Senegal,1999,4,All,15 to 49,All,15 to 59
Senegal,1997,3,All,15 to 49,All,20+
Senegal,1992-93,2,All,15 to 49,All,20+
Senegal,1986,1,All,15 to 49,NA,NA
Sierra Leone,2013,6,All,15 to 49,All,15 to 59
Sierra Leone,2008,5,All,15 to 49,All,15 to 59
South Africa,2003,4,All,15 to 49,All,15 to 59
South Africa,1998,3,All,15 to 49,NA,NA
Sri Lanka,2006-07,4,Ever Married,15 to 49,NA,NA
Sri Lanka,1987,1,Ever Married,15 to 49,NA,NA
Sudan,1989-1990,1,Ever Married,15 to 49,NA,NA
Swaziland,2006-07,5,All,15 to 49,All,15 to 49
Tajikistan,2012,6,All,15 to 49,NA,NA
Tanzania,2015-16,7,All,15 to 49,All,15 to 59
Tanzania,2010,6,All,15 to 49,All,15 to 49
Tanzania,2004-05,4,All,15 to 49,All,15 to 49
Tanzania,1999,4,All,15 to 49,All,15 to 59
Tanzania,1996,3,All,15 to 49,All,15 to 59
Tanzania,1991-92,2,All,15 to 49,All,15 to 60
Thailand,1987,1,Ever Married,15 to 49,NA,NA
Timor-Leste,2009-10,6,All,15 to 49,All,15 to 49
Togo,2013-14,6,All,15 to 49,All,15 to 59
Togo,1998,3,All,15 to 49,All,12 to 59
Togo,1988,1,All,15 to 49,NA,NA
Trinidad & Tobago,1987,1,All,15 to 49,NA,NA
Tunisia,1988,1,Ever Married,15 to 49,NA,NA
Turkey,2003,4,Ever Married,15 to 49,NA,NA
Turkey,1998,4,Ever Married,15 to 49,Married to Female Resp.,All
Turkey,1993,3,Ever Married,12 to 49,NA,NA
Turkmenistan,2000,4,All,15 to 49,NA,NA
Uganda,2011,6,All,15 to 49,All,15 to 54
Uganda,2006,5,All,15 to 49,All,15 to 54
Uganda,2000-01,4,All,15 to 49,All,15 to 54
Uganda,1995,3,All,15 to 49,All,15 to 54
Uganda,1988-89,1,All,15 to 49,NA,NA
Ukraine,2007,5,All,15 to 49,All,15 to 49
Uzbekistan,1996,3,All,15 to 49,NA,NA
Vietnam,2002,4,Ever Married,15 to 49,NA,NA
Vietnam,1997,3,Ever Married,15 to 49,NA,NA
Yemen,2013,6,All,15 to 49,NA,NA
Yemen,1997,3,Ever Married,15 to 49,NA,NA
Yemen,1991-92,2,Ever Married,15 to 49,NA,NA
Zambia,2013-14,6,All,15 to 49,All,15 to 59
Zambia,2007,5,All,15 to 49,All,15 to 59
Zambia,2001-02,4,All,15 to 49,All,15 to 59
Zambia,1996,3,All,15 to 49,All,15 to 59
Zambia,1992,2,All,15 to 49,NA,NA
Zimbabwe,2015,7,All,15 to 49,All,15 to 54
Zimbabwe,2010-11,6,All,15 to 49,All,15 to 54
Zimbabwe,2005-06,5,All,15 to 49,All,15 to 54
Zimbabwe,1999,4,All,15 to 49,All,15 to 54
Zimbabwe,1994,3,All,15 to 49,All,15 to 54
Zimbabwe,1988,1,All,15 to 49,NA,NA
